Test Case ID,Module,Submodule,Scenario,Type,Precondition,Steps,Test Data,Expected Result,Priority,Actual Result,Status,Remarks
A-TRN-005,Academic,Transfer Student,Transfer without selecting student,Negative,Transfer form is visible,Leave student unselected and save,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Validation shown and save blocked,P0,,Not Executed,
A-TRN-006,Academic,Transfer Student,Transfer without destination details,Negative,Transfer form is visible,Do not select destination and save,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Validation shown,P0,,Not Executed,
A-TRN-007,Academic,Transfer Student,Transfer same student repeatedly without reset,Negative,Student already transferred,Try transfer again immediately,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",System prevents duplicate transfer,P1,,Not Executed,
A-TRN-008,Academic,Transfer Student,Delete transfer record,Negative,Transfer record exists,Delete and confirm,"Student: ADM1001, From: Grade 6 A, To: Grade 6 B, Reason: Parent request",Record deleted only after confirmation,P1,,Not Executed,
ROLE-001,Role Based Access,Login,Superadmin login success,Positive,Superadmin account is active,Login with superadmin credentials,superadmin@erp.com / Admin@123,User lands in Admin workspace with full module access,P0,,Not Executed,
ROLE-002,Role Based Access,Login,School user login success,Positive,School user account is active,Login with school user credentials,admin@abcschool.com / School@123,User lands in school dashboard URL,P0,,Not Executed,
ROLE-003,Role Based Access,Login,Invalid role login blocked,Negative,Invalid role user exists or tampered response,Try login with unauthorized role,unauth@school.com / Test@123,System blocks navigation and shows error,P0,,Not Executed,
ROLE-004,Role Based Access,Menu Visibility,Superadmin sees all modules,Positive,Superadmin logged in,Open side menu,Role: Superadmin,Masters Academic Transportation Finance Timetable Exam Attendance are visible,P0,,Not Executed,
ROLE-005,Role Based Access,Menu Visibility,Restricted role sees only allowed modules,Positive,Restricted role configured,Login as restricted role and open side menu,Role: Clerk with limited permissions,Only permitted modules/submenus are visible,P0,,Not Executed,
ROLE-006,Role Based Access,Menu Visibility,Restricted role cannot open hidden URL directly,Negative,Restricted role logged in,Manually open restricted page URL,Try /Admin/Role or other restricted routes,Access denied or redirected safely,P0,,Not Executed,
ROLE-007,Role Based Access,Permissions,View only permission works,Positive,Role has canView only,Open assigned module and try actions,Role with view-only permission,List page opens but Add/Edit/Delete are unavailable or blocked,P1,,Not Executed,
ROLE-008,Role Based Access,Permissions,Add permission missing blocks create,Negative,Role has no Add permission,Try to create a new record,Role without add permission,Create action is hidden or blocked with message,P1,,Not Executed,
ROLE-009,Role Based Access,Permissions,Edit permission missing blocks update,Negative,Role has no Edit permission,Try to edit existing record,Role without edit permission,Edit action is hidden or blocked,P1,,Not Executed,
ROLE-010,Role Based Access,Permissions,Delete permission missing blocks delete,Negative,Role has no Delete permission,Try to delete existing record,Role without delete permission,Delete action is hidden or blocked,P1,,Not Executed,
ROLE-011,Role Based Access,Session,Role change applies after re-login,Positive,Admin updates role permissions,Logout then login again,Same user before and after role update,Latest module visibility/permissions are applied,P1,,Not Executed,
ROLE-012,Role Based Access,Session,Cross-school data isolation,Negative,Two school users exist,Login as School A then try to access School B context,School A user credentials,School A user cannot access School B data/modules,P0,,Not Executed,
