Test Case ID,Module,Submodule,Scenario,Type,Precondition,Input Fields,Test Data (This Case Only),Steps,Expected Result,Priority,Actual Result,Status,Remarks
A-TRN-002,Academic,Transfer Student,Transfer student with valid details,Positive,Student exists in source class,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Select student and transfer details then save,Student transfer is completed successfully,P0,,Not Executed,
A-TRN-003,Academic,Transfer Student,Edit transfer details,Positive,Transfer record exists,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Modify transfer reason or destination and save,Transfer details updated,P1,,Not Executed,
A-TRN-004,Academic,Transfer Student,View transfer record list,Positive,Transfer records exist,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Open transfer list,Transfer records displayed correctly,P1,,Not Executed,
A-TRN-005,Academic,Transfer Student,Transfer without selecting student,Negative,Transfer form is visible,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Leave student unselected and save,Validation shown and save blocked,P0,,Not Executed,
A-TRN-006,Academic,Transfer Student,Transfer without destination details,Negative,Transfer form is visible,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Do not select destination and save,Validation shown,P0,,Not Executed,
A-TRN-007,Academic,Transfer Student,Transfer same student repeatedly without reset,Negative,Student already transferred,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Try transfer again immediately,System prevents duplicate transfer,P1,,Not Executed,
A-TRN-008,Academic,Transfer Student,Delete transfer record,Negative,Transfer record exists,"School, AcademicYear, Class, Division, TransitionType, Remarks, student selection",,Delete and confirm,Record deleted only after confirmation,P1,,Not Executed,
ROLE-001,Role Based Access,Login,Superadmin login success,Positive,Superadmin account is active,"email/username, password",,Login with superadmin credentials,User lands in Admin workspace with full module access,P0,,Not Executed,
ROLE-002,Role Based Access,Login,School user login success,Positive,School user account is active,"email/username, password",,Login with school user credentials,User lands in school dashboard URL,P0,,Not Executed,
ROLE-003,Role Based Access,Login,Invalid role login blocked,Negative,Invalid role user exists or tampered response,"email/username, password",,Try login with unauthorized role,System blocks navigation and shows error,P0,,Not Executed,
ROLE-004,Role Based Access,Menu Visibility,Superadmin sees all modules,Positive,Superadmin logged in,NA,,Open side menu,Masters Academic Transportation Finance Timetable Exam Attendance are visible,P0,,Not Executed,
ROLE-005,Role Based Access,Menu Visibility,Restricted role sees only allowed modules,Positive,Restricted role configured,"role, module access, submenu access",,Login as restricted role and open side menu,Only permitted modules/submenus are visible,P0,,Not Executed,
ROLE-006,Role Based Access,Menu Visibility,Restricted role cannot open hidden URL directly,Negative,Restricted role logged in,NA,,Manually open restricted page URL,Access denied or redirected safely,P0,,Not Executed,
ROLE-007,Role Based Access,Permissions,View only permission works,Positive,Role has canView only,"role permissions (CanView, CanAdd, CanEdit, CanDelete), module/page mapping",,Open assigned module and try actions,List page opens but Add/Edit/Delete are unavailable or blocked,P1,,Not Executed,
ROLE-008,Role Based Access,Permissions,Add permission missing blocks create,Negative,Role has no Add permission,"role permissions (CanView, CanAdd, CanEdit, CanDelete), module/page mapping",,Try to create a new record,Create action is hidden or blocked with message,P1,,Not Executed,
ROLE-009,Role Based Access,Permissions,Edit permission missing blocks update,Negative,Role has no Edit permission,"role permissions (CanView, CanAdd, CanEdit, CanDelete), module/page mapping",,Try to edit existing record,Edit action is hidden or blocked,P1,,Not Executed,
ROLE-010,Role Based Access,Permissions,Delete permission missing blocks delete,Negative,Role has no Delete permission,NA,,Try to delete existing record,Delete action is hidden or blocked,P1,,Not Executed,
ROLE-011,Role Based Access,Session,Role change applies after re-login,Positive,Admin updates role permissions,"role change, re-login session, school context",,Logout then login again,Latest module visibility/permissions are applied,P1,,Not Executed,
ROLE-012,Role Based Access,Session,Cross-school data isolation,Negative,Two school users exist,"role change, re-login session, school context",,Login as School A then try to access School B context,School A user cannot access School B data/modules,P0,,Not Executed,
