Test Case ID,Module,Submodule,Scenario,Type,Precondition,Input Fields,Steps,Test Data (This Case Only),Expected Result,Priority,Actual Result,Status,Remarks
A-CTR-004,Academic,Class Transition,Rollback or correction update if supported,Positive,Transition exists and correction option available,"source class/division, target class/division, academic year, student selection",Modify transition entry and save,source=Grade 5 A; target=Grade 6 A; year=AY 2026-27; students=all selected,Correction reflects correctly,P2,,Not Executed,
A-CTR-005,Academic,Class Transition,Run transition without source class,Negative,Transition form is visible,"source class/division, target class/division, academic year, student selection",Do not select source class and submit,source=Grade 5 A; target=Grade 5 A; year=AY 2026-27,Validation shown and submit blocked,P0,,Not Executed,
A-CTR-006,Academic,Class Transition,Run transition without target class,Negative,Transition form is visible,"source class/division, target class/division, academic year, student selection",Do not select target class and submit,source=Grade 5 A; target=Grade 5 A; year=AY 2026-27,Validation shown and submit blocked,P0,,Not Executed,
A-CTR-007,Academic,Class Transition,Source and target class same,Negative,Transition form is visible,"source class/division, target class/division, academic year, student selection",Select same class as source and target and submit,source=Grade 5 A; target=Grade 5 A; year=AY 2026-27,System blocks invalid transition,P1,,Not Executed,
A-CTR-008,Academic,Class Transition,Transition same students twice,Negative,Students already transitioned,"source class/division, target class/division, academic year, student selection",Run same transition again,source=Grade 5 A; target=Grade 5 A; year=AY 2026-27,System prevents duplicate transition,P1,,Not Executed,
A-TRN-001,Academic,Transfer Student,Open Transfer Student page,Positive,Admin user is logged in,"student, from class/division, to class/division, transfer date/reason",Go to Academic > Transfer Student,student=ADM1001; from=Grade 6 A; to=Grade 6 B; reason=Parent request,Transfer Student page loads successfully,P0,,Not Executed,
A-TRN-002,Academic,Transfer Student,Transfer student with valid details,Positive,Student exists in source class,"student, from class/division, to class/division, transfer date/reason",Select student and transfer details then save,student=ADM1001; from=Grade 6 A; to=Grade 6 B; reason=Parent request,Student transfer is completed successfully,P0,,Not Executed,
A-TRN-003,Academic,Transfer Student,Edit transfer details,Positive,Transfer record exists,"student, from class/division, to class/division, transfer date/reason",Modify transfer reason or destination and save,student=ADM1001; from=Grade 6 A; to=Grade 6 B; reason=Parent request,Transfer details updated,P1,,Not Executed,
A-TRN-004,Academic,Transfer Student,View transfer record list,Positive,Transfer records exist,"student, from class/division, to class/division, transfer date/reason",Open transfer list,student=ADM1001; from=Grade 6 A; to=Grade 6 B; reason=Parent request,Transfer records displayed correctly,P1,,Not Executed,
A-TRN-005,Academic,Transfer Student,Transfer without selecting student,Negative,Transfer form is visible,"student, from class/division, to class/division, transfer date/reason",Leave student unselected and save,student=(blank); from=Grade 6 A; to=(blank); reason=(blank),Validation shown and save blocked,P0,,Not Executed,
A-TRN-006,Academic,Transfer Student,Transfer without destination details,Negative,Transfer form is visible,"student, from class/division, to class/division, transfer date/reason",Do not select destination and save,student=(blank); from=Grade 6 A; to=(blank); reason=(blank),Validation shown,P0,,Not Executed,
A-TRN-007,Academic,Transfer Student,Transfer same student repeatedly without reset,Negative,Student already transferred,"student, from class/division, to class/division, transfer date/reason",Try transfer again immediately,student=(blank); from=Grade 6 A; to=(blank); reason=(blank),System prevents duplicate transfer,P1,,Not Executed,
A-TRN-008,Academic,Transfer Student,Delete transfer record,Negative,Transfer record exists,"student, from class/division, to class/division, transfer date/reason",Delete and confirm,student=(blank); from=Grade 6 A; to=(blank); reason=(blank),Record deleted only after confirmation,P1,,Not Executed,
ROLE-001,Role Based Access,Login,Superadmin login success,Positive,Superadmin account is active,"username/email, password, captcha",Login with superadmin credentials,username=admin@school.com; password=Pass@123; captcha=as displayed,User lands in Admin workspace with full module access,P0,,Not Executed,
ROLE-002,Role Based Access,Login,School user login success,Positive,School user account is active,"username/email, password, captcha",Login with school user credentials,username=admin@school.com; password=Pass@123; captcha=as displayed,User lands in school dashboard URL,P0,,Not Executed,
ROLE-003,Role Based Access,Login,Invalid role login blocked,Negative,Invalid role user exists or tampered response,"username/email, password, captcha",Try login with unauthorized role,username=wrong@school.com; password=Wrong123; captcha=as displayed,System blocks navigation and shows error,P0,,Not Executed,
ROLE-004,Role Based Access,Menu Visibility,Superadmin sees all modules,Positive,Superadmin logged in,"role, allowed modules/pages, user account",Open side menu,role=Admission Clerk; allowed modules=Academic only; user=clerk1,Masters Academic Transportation Finance Timetable Exam Attendance are visible,P0,,Not Executed,
ROLE-005,Role Based Access,Menu Visibility,Restricted role sees only allowed modules,Positive,Restricted role configured,"role, allowed modules/pages, user account",Login as restricted role and open side menu,role=Admission Clerk; allowed modules=Academic only; user=clerk1,Only permitted modules/submenus are visible,P0,,Not Executed,
ROLE-006,Role Based Access,Menu Visibility,Restricted role cannot open hidden URL directly,Negative,Restricted role logged in,"role, allowed modules/pages, user account",Manually open restricted page URL,role=Admission Clerk; try opening restricted URL=/Admin/Role,Access denied or redirected safely,P0,,Not Executed,
ROLE-007,Role Based Access,Permissions,View only permission works,Positive,Role has canView only,"role, allowed modules/pages, user account",Open assigned module and try actions,role=Admission Clerk; allowed modules=Academic only; user=clerk1,List page opens but Add/Edit/Delete are unavailable or blocked,P1,,Not Executed,
ROLE-008,Role Based Access,Permissions,Add permission missing blocks create,Negative,Role has no Add permission,"role, allowed modules/pages, user account",Try to create a new record,role=Admission Clerk; try opening restricted URL=/Admin/Role,Create action is hidden or blocked with message,P1,,Not Executed,
ROLE-009,Role Based Access,Permissions,Edit permission missing blocks update,Negative,Role has no Edit permission,"role, allowed modules/pages, user account",Try to edit existing record,role=Admission Clerk; try opening restricted URL=/Admin/Role,Edit action is hidden or blocked,P1,,Not Executed,
ROLE-010,Role Based Access,Permissions,Delete permission missing blocks delete,Negative,Role has no Delete permission,"role, allowed modules/pages, user account",Try to delete existing record,role=Admission Clerk; try opening restricted URL=/Admin/Role,Delete action is hidden or blocked,P1,,Not Executed,
ROLE-011,Role Based Access,Session,Role change applies after re-login,Positive,Admin updates role permissions,"username/email, password, captcha",Logout then login again,username=admin@school.com; password=Pass@123; captcha=as displayed,Latest module visibility/permissions are applied,P1,,Not Executed,
ROLE-012,Role Based Access,Session,Cross-school data isolation,Negative,Two school users exist,fields as shown in the form,Login as School A then try to access School B context,login user=schoolA_admin; attempt school context=schoolB,School A user cannot access School B data/modules,P0,,Not Executed,
